"LAI","h3","d","wL","P50","P12","pxmin","pxgs50","slope"
1,200,11,0.176197439739119,-9.57412953798264,-5.0466170783008,-3.66570208276665,-2.70060420476121,0.741537142613526
3,200,11,0.157736277293876,-9.57412953798264,-5.0466170783008,-5.83906291966655,-3.80567899473251,0.784343940670731
1,1,12,0.116332927712523,-10.4445049505265,-5.50540044905542,-21.2929605135466,-9.52713154753426,0.788747418026475
3,1,12,0.113933746816014,-10.4445049505265,-5.50540044905542,-22.9666304992655,-10.0448257701327,0.739177638954937
1,25,12,0.139168013263381,-10.4445049505265,-5.50540044905542,-10.1018122549364,-5.41611049966249,0.849331433507993
3,25,12,0.124971183477026,-10.4445049505265,-5.50540044905542,-16.5411164459205,-7.11597112253041,0.918302493279671
1,100,12,0.160661966296206,-10.4445049505265,-5.50540044905542,-5.38693601146049,-3.61823112303632,0.773258584856306
3,100,12,0.143562268409009,-10.4445049505265,-5.50540044905542,-8.76905761557672,-5.00139642705076,0.827028199584322
1,200,12,0.172209255345281,-10.4445049505265,-5.50540044905542,-4.02753200931628,-2.91166567938344,0.748209980109111
3,200,12,0.154231468893389,-10.4445049505265,-5.50540044905542,-6.40985133806557,-4.09030501545629,0.789817096786734
1,1,13,0.114040434796517,-11.3148803630704,-5.96418381981004,-23.2022408534769,-10.2720899971025,0.794476874389473
3,1,13,0.111722539307635,-11.3148803630704,-5.96418381981004,-25.0023600514678,-10.8553112090772,0.743522647893936
1,25,13,0.136320297733898,-11.3148803630704,-5.96418381981004,-11.0160701402274,-5.77896807745114,0.853527411365387
3,25,13,0.122356386139924,-11.3148803630704,-5.96418381981004,-18.0987879634684,-7.60431206856961,0.923061020260807
1,100,13,0.157374942013061,-11.3148803630704,-5.96418381981004,-5.86885770190584,-3.86745035159468,0.778468288880209
3,100,13,0.140640415922648,-11.3148803630704,-5.96418381981004,-9.55578447084599,-5.33703011102815,0.831311757363791
1,200,13,0.168640753803525,-11.3148803630704,-5.96418381981004,-4.39042733425711,-3.11801151164621,0.754105889062484
3,200,13,0.151091303097616,-11.3148803630704,-5.96418381981004,-6.98220663719555,-4.36848711950158,0.794656279418646
1,1,14,0.111960769345307,-12.1852557756143,-6.42296719056466,-25.1204940736224,-11.0110847669674,0.799731404588394
3,1,14,0.109715291811831,-12.1852557756143,-6.42296719056466,-27.0463105321925,-11.6625026409476,0.747629936475104
1,25,14,0.133745212318463,-12.1852557756143,-6.42296719056466,-11.9335446040869,-6.13431193839003,0.857242402077031
